afsd_h,frzmlt_h,sst_h
"0.09323257,0.013932517,0.0053483746,0.0025704575,0.0013687158,0.00077413593,0.00043041067,0.00026922094,0.00017341175,0.00012780205,6.656283e-05,0.00025816518",1445.7109,-1.8066435
"0.09322959,0.013931859,0.005347165,0.0025689094,0.0013668424,0.00077201624,0.00042690124,0.00026655037,0.00017121526,0.00012653958,6.431353e-05,0.00026655724",1406.9047,-1.8071078
"0.09316845,0.013921785,0.0053391005,0.0025607964,0.001357924,0.0007623241,0.00041129402,0.00025470383,0.00016149647,0.00012093908,5.441834e-05,0.00030321436",1400.4117,-1.8020102
"0.09317742,0.013922743,0.0053377505,0.002558414,0.0013547739,0.0007586408,0.00040506537,0.00024995508,0.00015758332,0.00011869427,5.0394072e-05,0.00031830638",1380.9866,-1.80249
"0.093193196,0.013925293,0.0053395964,0.0025601762,0.0013566619,0.00076066854,0.00040830302,0.00025241062,0.00015959624,0.00011985516,5.2439813e-05,0.0003107449",1356.6785,-1.8036695
"0.093201324,0.013927237,0.0053436114,0.0025654053,0.0013630273,0.0007678881,0.00042027433,0.00026152172,0.000167091,0.00012416225,6.011718e-05,0.00028209",1349.7344,-1.80435
"0.09319882,0.013927398,0.0053460714,0.0025690093,0.0013675742,0.00077311584,0.00042902026,0.00026818333,0.0001725752,0.00012731134,6.574508e-05,0.00026103854",1322.8654,-1.8046108
"0.09317031,0.013923353,0.005345482,0.002569699,0.0013689973,0.000774988,0.00043240754,0.00027078064,0.00017472767,0.000128539,6.798683e-05,0.0002525035",1322.8796,-1.8046108
"0.09308614,0.013910794,0.0053407475,0.0025675104,0.0013679265,0.0007744778,0.00043233373,0.0002707773,0.0001747684,0.00012853694,6.8129084e-05,0.00025151405",1770.096,-1.8028619
"0.092962675,0.013892198,0.005332958,0.0025631099,0.00136487,0.00077202835,0.00042938726,0.00026861107,0.00017304927,0.0001275122,6.6513225e-05,0.00025688298",1800.7427,-1.803438
"0.092992544,0.013896606,0.0053343996,0.00256355,0.0013648301,0.0007717285,0.0004286111,0.00026800125,0.00017253192,0.00012722409,6.5946944e-05,0.00025916225",1817.2041,-1.8039007
"0.0929878,0.013895952,0.005334399,0.0025638025,0.0013652389,0.000772237,0.00042950345,0.00026868377,0.00017309611,0.00012754671,6.653129e-05,0.00025695207",1871.0918,-1.8047564
"0.09319991,0.013927618,0.00534641,0.0025694289,0.0013680762,0.0007736814,0.00042995394,0.00026889367,0.00017315926,0.00012764714,6.6342844e-05,0.00025880995",1948.2211,-1.8051984
"0.093212254,0.013929004,0.005344886,0.00256662,0.0013643274,0.00076928386,0.00042250223,0.00026321138,0.00016847605,0.00012496107,6.152472e-05,0.0002768879",2006.8875,-1.8048602
"0.0931903,0.013924371,0.0053370507,0.0025567394,0.0013524299,0.0007558472,0.00040028326,0.0002463057,0.00015457366,0.00011697296,4.7285743e-05,0.00032997623",2206.6467,-1.8090389
"0.093167774,0.013919073,0.0053263674,0.0025428908,0.0013356343,0.0007368708,0.000369673,0.0002228709,0.0001349705,0.00010399488,2.9977475e-05,0.0004033489",2110.2942,-1.8053176
"0.09315977,0.013916282,0.005318204,0.0025318894,0.0013222555,0.00072191004,0.00034867282,0.00020623262,0.00011978108,8.7505345e-05,2.7088192e-05,0.00045429746",2012.7208,-1.8026901
